date,height
2014-10-01,2.55
2014-10-02,2.74
2014-10-03,2.62
2014-10-04,2.41
2014-10-05,2.41
2014-10-06,2.48
2014-10-07,2.47
2014-10-08,2.42
2014-10-09,2.47
2014-10-10,2.42
2014-10-11,2.43
2014-10-12,2.56
2014-10-13,2.49
2014-10-14,2.64
2014-10-15,2.43
2014-10-16,2.24
2014-10-17,1.89
2014-10-18,1.91
2014-10-19,1.92
2014-10-20,2.47
2014-10-21,2.48
2014-10-22,2.46
2014-10-23,2.20
2014-10-24,1.88
2014-10-25,1.86
2014-10-26,1.95
2014-10-27,1.91
2014-10-28,1.98
2014-10-29,2.25
2014-10-30,1.91
2014-10-31,1.88
2014-11-01,1.87
2014-11-02,1.86
2014-11-03,1.87
2014-11-04,1.85
2014-11-05,1.85
2014-11-06,2.06
2014-11-07,2.68
2014-11-08,2.59
2014-11-09,2.51
2014-11-10,2.48
2014-11-11,2.47
2014-11-12,2.46
2014-11-13,2.54
2014-11-14,2.44
2014-11-15,1.93
2014-11-16,1.92
2014-11-17,2.75
2014-11-18,2.69
2014-11-19,2.49
2014-11-20,2.46
2014-11-21,2.45
2014-11-22,1.95
2014-11-23,2.04
2014-11-24,2.02
2014-11-25,2.00
2014-11-26,1.94
2014-11-27,1.94
2014-11-28,1.94
2014-11-29,1.92
2014-11-30,2.12
2014-12-01,2.06
2014-12-02,1.98
2014-12-03,1.99
2014-12-04,1.97
2014-12-05,1.92
2014-12-06,2.44
2014-12-07,2.30
2014-12-08,1.95
2014-12-09,1.89
2014-12-10,1.97
2014-12-11,2.54
2014-12-12,2.54
2014-12-13,2.55
2014-12-14,2.61
2014-12-15,2.64
2014-12-16,3.16
2014-12-17,3.65
2014-12-18,3.45
2014-12-19,3.12
2014-12-20,3.04
2014-12-21,3.00
2014-12-22,2.98
2014-12-23,3.20
2014-12-24,3.45
2014-12-25,3.21
2014-12-26,3.02
2014-12-27,2.97
2014-12-28,3.05
2014-12-29,2.99
2014-12-30,2.98
2014-12-31,2.95
2015-01-01,2.93
2015-01-02,2.92
2015-01-03,3.11
2015-01-04,3.30
2015-01-05,3.04
2015-01-06,2.87
2015-01-07,2.96
2015-01-08,3.11
2015-01-09,3.18
2015-01-10,3.60
2015-01-11,4.02
2015-01-12,2.90
2015-01-13,3.22
2015-01-14,3.77
2015-01-15,2.84
2015-01-16,2.84
2015-01-17,2.85
2015-01-18,2.47
2015-01-19,2.46
2015-01-20,2.47
2015-01-21,2.97
2015-01-22,2.44
2015-01-23,2.44
2015-01-24,2.43
2015-01-25,2.50
2015-01-26,3.11
2015-01-27,2.53
2015-01-28,2.70
2015-01-29,2.38
2015-01-30,2.25
2015-01-31,2.41
2015-02-01,2.19
2015-02-02,2.45
2015-02-03,2.51
2015-02-04,2.33
2015-02-05,2.34
2015-02-06,3.39
2015-02-07,3.39
2015-02-08,3.53
2015-02-09,3.91
2015-02-10,4.07
2015-02-11,4.01
2015-02-12,3.73
2015-02-13,3.52
2015-02-14,3.53
2015-02-15,3.62
2015-02-16,3.75
2015-02-17,3.87
2015-02-18,3.82
2015-02-19,3.87
2015-02-20,3.98
2015-02-21,3.94
2015-02-22,3.92
2015-02-23,3.91
2015-02-24,4.07
2015-02-25,3.91
2015-02-26,3.94
2015-02-27,3.83
2015-02-28,3.89
2015-03-01,3.74
2015-03-02,3.55
2015-03-03,3.36
2015-03-04,2.71
2015-03-05,2.72
2015-03-06,2.95
2015-03-07,3.02
2015-03-08,2.74
2015-03-09,2.75
2015-03-10,2.77
2015-03-11,2.88
2015-03-12,2.87
2015-03-13,2.84
2015-03-14,2.78
2015-03-15,2.79
2015-03-16,2.84
2015-03-17,3.09
2015-03-18,2.99
2015-03-19,2.96
2015-03-20,2.78
2015-03-21,2.78
2015-03-22,2.77
2015-03-23,2.75
2015-03-24,2.96
2015-03-25,2.75
2015-03-26,3.07
2015-03-27,3.04
2015-03-28,2.51
2015-03-29,2.38
2015-03-30,2.37
2015-03-31,2.37
2015-04-01,2.46
2015-04-02,4.06
2015-04-03,4.38
2015-04-04,4.10
2015-04-05,3.00
2015-04-06,2.86
2015-04-07,2.77
2015-04-08,3.29
2015-04-09,3.15
2015-04-10,2.90
2015-04-11,2.59
2015-04-12,2.38
2015-04-13,2.48
2015-04-14,2.67
2015-04-15,2.33
2015-04-16,2.25
2015-04-17,2.29
2015-04-18,2.25
2015-04-19,2.18
2015-04-20,2.65
2015-04-21,2.84
2015-04-22,2.47
2015-04-23,2.41
2015-04-24,2.40
2015-04-25,2.37
2015-04-26,2.35
2015-04-27,2.34
2015-04-28,2.33
2015-04-29,2.31
2015-04-30,2.30
2015-05-01,2.29
2015-05-02,2.01
2015-05-03,2.00
2015-05-04,1.98
2015-05-05,1.98
2015-05-06,1.96
2015-05-07,1.95
2015-05-08,1.94
2015-05-09,1.93
2015-05-10,2.13
2015-05-11,3.38
2015-05-12,2.75
2015-05-13,2.63
2015-05-14,2.85
2015-05-15,2.85
2015-05-16,2.86
2015-05-17,2.83
2015-05-18,3.03
2015-05-19,3.30
2015-05-20,3.12
2015-05-21,3.12
2015-05-22,3.11
2015-05-23,2.85
2015-05-24,2.84
2015-05-25,2.83
2015-05-26,2.83
2015-05-27,1.98
2015-05-28,1.95
2015-05-29,1.90
2015-05-30,2.85
2015-05-31,3.10
2015-06-01,2.91
2015-06-02,2.52
2015-06-03,2.38
2015-06-04,2.32
2015-06-05,2.30
2015-06-06,2.33
2015-06-07,2.27
2015-06-08,2.50
2015-06-09,3.71
2015-06-10,3.33
2015-06-11,3.38
2015-06-12,3.35
2015-06-13,3.34
2015-06-14,3.57
2015-06-15,4.54
2015-06-16,3.91
2015-06-17,3.45
2015-06-18,3.33
2015-06-19,3.27
2015-06-20,3.22
2015-06-21,3.22
2015-06-22,3.17
2015-06-23,3.11
2015-06-24,3.07
2015-06-25,3.06
2015-06-26,2.89
2015-06-27,3.14
2015-06-28,3.40
2015-06-29,3.36
2015-06-30,3.35
2015-07-01,3.52
2015-07-02,3.40
2015-07-03,3.40
2015-07-04,3.39
2015-07-05,3.33
2015-07-06,3.27
2015-07-07,3.20
2015-07-08,3.02
2015-07-09,4.62
2015-07-10,3.72
2015-07-11,3.14
2015-07-12,3.07
2015-07-13,2.96
2015-07-14,2.87
2015-07-15,2.83
2015-07-16,2.82
2015-07-17,2.80
2015-07-18,2.29
2015-07-19,2.41
2015-07-20,2.28
2015-07-21,2.13
2015-07-22,2.11
2015-07-23,1.94
2015-07-24,1.93
2015-07-25,1.93
2015-07-26,2.87
2015-07-27,2.03
2015-07-28,1.95
2015-07-29,1.92
2015-07-30,2.12
2015-07-31,2.05
2015-08-01,2.03
2015-08-02,2.02
2015-08-03,2.09
2015-08-04,2.07
2015-08-05,2.02
2015-08-06,2.00
2015-08-07,1.84
2015-08-08,1.82
2015-08-09,1.81
2015-08-10,1.82
2015-08-11,1.94
2015-08-12,1.82
2015-08-13,1.80
2015-08-14,1.87
2015-08-15,1.89
2015-08-16,1.80
2015-08-17,1.77
2015-08-18,1.77
2015-08-19,1.77
2015-08-20,1.80
2015-08-21,1.80
2015-08-22,1.76
2015-08-23,1.75
2015-08-24,1.75
2015-08-25,1.75
2015-08-26,1.74
2015-08-27,1.74
2015-08-28,1.74
2015-08-29,1.74
2015-08-30,1.73
2015-08-31,1.73
2015-09-01,1.73
2015-09-02,1.78
2015-09-03,1.77
2015-09-04,1.74
2015-09-05,1.77
2015-09-06,1.73
2015-09-07,1.73
2015-09-08,1.77
2015-09-09,2.36
2015-09-10,1.90
2015-09-11,1.79
2015-09-12,1.90
2015-09-13,1.94
2015-09-14,1.84
2015-09-15,1.78
2015-09-16,1.77
2015-09-17,1.77
2015-09-18,1.76
2015-09-19,2.10
2015-09-20,2.20
2015-09-21,1.78
2015-09-22,1.77
2015-09-23,1.76
2015-09-24,1.76
2015-09-25,1.78
2015-09-26,1.75
2015-09-27,1.81
2015-09-28,1.75
2015-09-29,2.44
2015-09-30,3.86
2015-10-01,2.27
2015-10-02,1.99
2015-10-03,1.91
2015-10-04,1.88
2015-10-05,1.85
2015-10-06,1.84
2015-10-07,1.85
2015-10-08,1.84
2015-10-09,3.17
2015-10-10,2.44
2015-10-11,2.03
2015-10-12,1.94
2015-10-13,1.97
2015-10-14,1.94
2015-10-15,1.89
2015-10-16,1.99
2015-10-17,2.00
2015-10-18,1.91
2015-10-19,1.88
2015-10-20,1.89
2015-10-21,1.87
2015-10-22,1.87
2015-10-23,1.86
2015-10-24,1.87
2015-10-25,2.05
2015-10-26,1.92
2015-10-27,1.88
2015-10-28,2.01
2015-10-29,2.06
2015-10-30,1.98
2015-10-31,1.91
2015-11-01,1.96
2015-11-02,1.91
2015-11-03,1.88
2015-11-04,1.87
2015-11-05,1.86
2015-11-06,1.85
2015-11-07,1.87
2015-11-08,1.86
2015-11-09,1.82
2015-11-10,2.01
2015-11-11,2.00
2015-11-12,2.02
2015-11-13,2.02
2015-11-14,1.91
2015-11-15,1.87
2015-11-16,1.84
2015-11-17,1.83
2015-11-18,1.84
2015-11-19,1.82
2015-11-20,1.82
2015-11-21,1.78
2015-11-22,1.78
2015-11-23,1.77
2015-11-24,1.77
2015-11-25,1.76
2015-11-26,1.76
2015-11-27,1.75
2015-11-28,1.78
2015-11-29,1.77
2015-11-30,1.76
2015-12-01,1.78
2015-12-02,2.65
2015-12-03,2.58
2015-12-04,2.29
2015-12-05,2.03
2015-12-06,1.95
2015-12-07,1.92
2015-12-08,1.90
2015-12-09,1.90
2015-12-10,1.92
2015-12-11,1.91
2015-12-12,1.89
2015-12-13,1.88
2015-12-14,2.10
2015-12-15,2.21
2015-12-16,1.96
2015-12-17,2.52
2015-12-18,2.48
2015-12-19,2.05
2015-12-20,1.96
2015-12-21,1.93
2015-12-22,3.14
2015-12-23,2.57
2015-12-24,2.24
2015-12-25,2.08
2015-12-26,2.01
2015-12-27,2.74
2015-12-28,2.53
2015-12-29,2.94
2015-12-30,2.85
2015-12-31,2.60
2016-01-01,2.32
2016-01-02,2.22
2016-01-03,2.13
2016-01-04,2.23
2016-01-05,2.22
2016-01-06,2.20
2016-01-07,2.19
2016-01-08,2.18
2016-01-09,2.35
2016-01-10,3.47
2016-01-11,2.74
2016-01-12,2.86
2016-01-13,2.85
2016-01-14,2.83
2016-01-15,2.84
2016-01-16,2.92
2016-01-17,2.88
2016-01-18,2.84
2016-01-19,2.82
2016-01-20,2.81
2016-01-21,2.81
2016-01-22,2.80
2016-01-23,2.80
2016-01-24,2.79
2016-01-25,2.79
2016-01-26,2.84
2016-01-27,2.83
2016-01-28,2.81
2016-01-29,2.80
2016-01-30,2.17
2016-01-31,2.36
2016-02-01,2.45
2016-02-02,2.25
2016-02-03,3.22
2016-02-04,2.57
2016-02-05,2.26
2016-02-06,2.18
2016-02-07,2.14
2016-02-08,2.12
2016-02-09,2.14
2016-02-10,2.13
2016-02-11,2.13
2016-02-12,2.24
2016-02-13,2.21
2016-02-14,2.29
2016-02-15,2.09
2016-02-16,4.22
2016-02-17,4.04
2016-02-18,3.27
2016-02-19,3.15
2016-02-20,3.43
2016-02-21,3.39
2016-02-22,3.31
2016-02-23,3.17
2016-02-24,4.56
2016-02-25,4.60
2016-02-26,3.53
2016-02-27,3.40
2016-02-28,3.41
2016-02-29,3.39
2016-03-01,3.33
2016-03-02,3.31
2016-03-03,3.26
2016-03-04,3.24
2016-03-05,3.22
2016-03-06,3.22
2016-03-07,3.23
2016-03-08,3.23
2016-03-09,3.23
2016-03-10,3.59
2016-03-11,3.57
2016-03-12,3.19
2016-03-13,3.14
2016-03-14,3.18
2016-03-15,3.13
2016-03-16,3.19
2016-03-17,3.17
2016-03-18,3.13
2016-03-19,3.10
2016-03-20,3.07
2016-03-21,3.07
2016-03-22,3.07
2016-03-23,3.06
2016-03-24,2.33
2016-03-25,2.36
2016-03-26,2.29
2016-03-27,2.27
2016-03-28,2.48
2016-03-29,2.49
2016-03-30,2.31
2016-03-31,2.28
2016-04-01,2.43
2016-04-02,2.30
2016-04-03,2.35
2016-04-04,2.35
2016-04-05,2.34
2016-04-06,2.34
2016-04-07,2.87
2016-04-08,2.68
2016-04-09,2.44
2016-04-10,2.35
2016-04-11,2.56
2016-04-12,2.94
2016-04-13,2.45
2016-04-14,2.35
2016-04-15,2.31
2016-04-16,2.29
2016-04-17,2.27
2016-04-18,2.26
2016-04-19,2.04
2016-04-20,2.02
2016-04-21,2.03
2016-04-22,2.01
2016-04-23,2.00
2016-04-24,1.98
2016-04-25,1.98
2016-04-26,2.11
2016-04-27,2.04
2016-04-28,1.99
2016-04-29,1.99
2016-04-30,1.97
2016-05-01,2.04
2016-05-02,2.66
2016-05-03,2.24
2016-05-04,2.06
2016-05-05,2.01
2016-05-06,1.99
2016-05-07,1.99
2016-05-08,2.14
2016-05-09,2.06
2016-05-10,2.00
2016-05-11,1.96
2016-05-12,1.94
2016-05-13,1.99
2016-05-14,1.95
2016-05-15,1.94
2016-05-16,1.94
2016-05-17,1.94
2016-05-18,1.93
2016-05-19,1.93
2016-05-20,1.92
2016-05-21,1.92
2016-05-22,1.92
2016-05-23,1.91
2016-05-24,1.92
2016-05-25,2.31
2016-05-26,1.93
2016-05-27,1.94
2016-05-28,1.89
2016-05-29,2.28
2016-05-30,2.01
2016-05-31,1.87
2016-06-01,1.86
2016-06-02,1.86
2016-06-03,1.85
2016-06-04,1.84
2016-06-05,1.95
2016-06-06,1.87
2016-06-07,1.84
2016-06-08,1.85
2016-06-09,1.84
2016-06-10,1.83
2016-06-11,2.65
2016-06-12,1.92
2016-06-13,1.86
2016-06-14,1.85
2016-06-15,1.85
2016-06-16,1.83
2016-06-17,1.81
2016-06-18,1.80
2016-06-19,1.79
2016-06-20,1.81
2016-06-21,1.86
2016-06-22,1.78
2016-06-23,1.78
2016-06-24,1.77
2016-06-25,1.76
2016-06-26,1.74
2016-06-27,1.74
2016-06-28,1.73
2016-06-29,1.72
2016-06-30,1.71
2016-07-01,1.70
2016-07-02,1.69
2016-07-03,1.68
2016-07-04,1.67
2016-07-05,1.66
2016-07-06,1.64
2016-07-07,1.68
2016-07-08,1.69
2016-07-09,1.64
2016-07-10,1.65
2016-07-11,1.64
2016-07-12,1.63
2016-07-13,1.73
2016-07-14,1.69
2016-07-15,1.65
2016-07-16,1.64
2016-07-17,1.67
2016-07-18,1.73
2016-07-19,1.65
2016-07-20,1.63
2016-07-21,1.69
2016-07-22,1.62
2016-07-23,1.61
2016-07-24,1.60
2016-07-25,1.80
2016-07-26,1.65
2016-07-27,1.62
2016-07-28,1.61
2016-07-29,1.59
2016-07-30,1.57
2016-07-31,1.59
2016-08-01,1.66
2016-08-02,1.57
2016-08-03,1.58
2016-08-04,1.59
2016-08-05,1.61
2016-08-06,1.63
2016-08-07,1.58
2016-08-08,1.58
2016-08-09,1.59
2016-08-10,1.99
2016-08-11,1.63
2016-08-12,1.78
2016-08-13,2.05
2016-08-14,1.88
2016-08-15,1.65
2016-08-16,1.75
2016-08-17,1.70
2016-08-18,1.64
2016-08-19,1.61
2016-08-20,1.60
2016-08-21,1.95
2016-08-22,1.70
2016-08-23,1.63
2016-08-24,1.62
2016-08-25,1.63
2016-08-26,1.64
2016-08-27,1.62
2016-08-28,1.61
2016-08-29,1.61
2016-08-30,1.65
2016-08-31,1.60
2016-09-01,1.67
2016-09-02,1.60
2016-09-03,1.59
2016-09-04,1.59
2016-09-05,1.58
2016-09-06,1.60
2016-09-07,1.58
2016-09-08,1.74
2016-09-09,1.68
2016-09-10,1.61
2016-09-11,1.70
2016-09-12,1.62
2016-09-13,1.61
2016-09-14,1.60
2016-09-15,1.60
2016-09-16,1.61
2016-09-17,1.65
2016-09-18,2.65
2016-09-19,2.62
2016-09-20,1.75
2016-09-21,1.72
2016-09-22,1.71
2016-09-23,1.69
2016-09-24,1.69
2016-09-25,1.69
2016-09-26,1.69
2016-09-27,1.68
2016-09-28,1.69
2016-09-29,1.68
2016-09-30,1.69
2016-10-01,1.75
2016-10-02,1.82
2016-10-03,1.75
2016-10-04,1.69
2016-10-05,1.68
2016-10-06,1.68
2016-10-07,1.69
2016-10-08,1.84
2016-10-09,1.73
2016-10-10,1.72
2016-10-11,1.71
2016-10-12,1.71
2016-10-13,1.76
2016-10-14,1.73
2016-10-15,1.71
2016-10-16,1.75
2016-10-17,1.77
2016-10-18,1.79
2016-10-19,1.87
2016-10-20,3.03
2016-10-21,3.73
2016-10-22,3.44
2016-10-23,2.94
2016-10-24,2.25
2016-10-25,2.07
2016-10-26,1.99
2016-10-27,2.35
2016-10-28,2.23
2016-10-29,2.04
2016-10-30,1.98
2016-10-31,1.96
2016-11-01,1.93
2016-11-02,1.93
2016-11-03,3.21
2016-11-04,2.50
2016-11-05,2.12
2016-11-06,2.03
2016-11-07,1.97
2016-11-08,1.94
2016-11-09,1.95
2016-11-10,1.92
2016-11-11,1.91
2016-11-12,1.88
2016-11-13,1.88
2016-11-14,1.88
2016-11-15,1.88
2016-11-16,1.90
2016-11-17,1.91
2016-11-18,1.87
2016-11-19,1.90
2016-11-20,1.99
2016-11-21,2.09
2016-11-22,2.01
2016-11-23,2.02
2016-11-24,2.09
2016-11-25,2.54
2016-11-26,3.04
2016-11-27,3.07
2016-11-28,2.92
2016-11-29,3.37
2016-11-30,2.86
2016-12-01,3.94
2016-12-02,2.56
2016-12-03,2.32
2016-12-04,2.21
2016-12-05,2.14
2016-12-06,2.15
2016-12-07,2.43
2016-12-08,2.26
2016-12-09,2.15
2016-12-10,2.11
2016-12-11,2.07
2016-12-12,2.07
2016-12-13,2.06
2016-12-14,2.05
2016-12-15,2.27
2016-12-16,2.33
2016-12-17,2.05
2016-12-18,3.00
2016-12-19,2.61
2016-12-20,2.24
2016-12-21,2.17
2016-12-22,2.14
2016-12-23,2.08
2016-12-24,2.22
2016-12-25,2.24
2016-12-26,2.78
2016-12-27,3.07
2016-12-28,2.44
2016-12-29,2.23
2016-12-30,2.18
2016-12-31,2.12
2017-01-01,2.11
2017-01-02,2.07
2017-01-03,3.28
2017-01-04,3.24
2017-01-05,2.44
2017-01-06,2.18
2017-01-07,2.38
2017-01-08,2.82
2017-01-09,2.66
2017-01-10,1.99
2017-01-11,2.09
2017-01-12,3.33
2017-01-13,2.92
2017-01-14,2.31
2017-01-15,2.19
2017-01-16,2.12
2017-01-17,3.50
2017-01-18,3.15
2017-01-19,3.05
2017-01-20,2.91
2017-01-21,2.89
2017-01-22,2.85
2017-01-23,2.80
2017-01-24,2.89
2017-01-25,2.90
2017-01-26,2.94
2017-01-27,2.90
2017-01-28,2.82
2017-01-29,2.79
2017-01-30,2.77
2017-01-31,2.76
2017-02-01,2.76
2017-02-02,2.74
2017-02-03,2.73
2017-02-04,2.72
2017-02-05,2.72
2017-02-06,2.71
2017-02-07,3.28
2017-02-08,3.34
2017-02-09,2.88
2017-02-10,2.88
2017-02-11,2.78
2017-02-12,2.83
2017-02-13,2.84
2017-02-14,2.82
2017-02-15,2.84
2017-02-16,3.07
2017-02-17,3.07
2017-02-18,3.24
2017-02-19,3.81
2017-02-20,3.61
2017-02-21,3.28
2017-02-22,3.53
2017-02-23,3.39
2017-02-24,3.98
2017-02-25,3.47
2017-02-26,3.16
2017-02-27,2.97
2017-02-28,2.96
2017-03-01,2.97
2017-03-02,2.97
2017-03-03,2.93
2017-03-04,2.91
2017-03-05,2.89
2017-03-06,2.91
2017-03-07,3.08
2017-03-08,3.49
2017-03-09,3.05
2017-03-10,2.95
2017-03-11,2.91
2017-03-12,2.90
2017-03-13,2.89
2017-03-14,2.94
2017-03-15,3.04
2017-03-16,3.08
2017-03-17,3.09
2017-03-18,3.09
2017-03-19,3.09
2017-03-20,3.09
2017-03-21,3.17
2017-03-22,3.17
2017-03-23,3.11
2017-03-24,3.26
2017-03-25,3.71
2017-03-26,3.92
2017-03-27,3.95
2017-03-28,3.47
2017-03-29,3.18
2017-03-30,3.17
2017-03-31,3.87
2017-04-01,3.81
2017-04-02,3.23
2017-04-03,3.12
2017-04-04,3.70
2017-04-05,3.34
2017-04-06,4.52
2017-04-07,4.53
2017-04-08,3.52
2017-04-09,3.19
2017-04-10,3.21
2017-04-11,3.18
2017-04-12,3.09
2017-04-13,3.02
2017-04-14,2.99
2017-04-15,2.99
2017-04-16,2.96
2017-04-17,2.94
2017-04-18,3.09
2017-04-19,3.08
2017-04-20,3.35
2017-04-21,3.84
2017-04-22,3.24
2017-04-23,2.91
2017-04-24,3.47
2017-04-25,3.48
2017-04-26,3.40
2017-04-27,3.39
2017-04-28,3.35
2017-04-29,3.35
2017-04-30,3.33
2017-05-01,3.56
2017-05-02,3.46
2017-05-03,3.40
2017-05-04,3.38
2017-05-05,3.81
2017-05-06,4.01
2017-05-07,3.43
2017-05-08,3.64
2017-05-09,3.63
2017-05-10,3.60
2017-05-11,3.59
2017-05-12,3.54
2017-05-13,3.53
2017-05-14,3.52
2017-05-15,3.52
2017-05-16,3.51
2017-05-17,3.47
2017-05-18,3.54
2017-05-19,3.67
2017-05-20,3.47
2017-05-21,3.51
2017-05-22,3.51
2017-05-23,3.44
2017-05-24,3.41
2017-05-25,3.44
2017-05-26,3.39
2017-05-27,3.32
2017-05-28,3.30
2017-05-29,3.27
2017-05-30,3.78
2017-05-31,3.56
2017-06-01,3.35
2017-06-02,3.18
2017-06-03,3.17
2017-06-04,3.25
2017-06-05,3.33
2017-06-06,3.78
2017-06-07,3.40
2017-06-08,2.90
2017-06-09,2.84
2017-06-10,2.80
2017-06-11,2.79
2017-06-12,2.77
2017-06-13,2.75
2017-06-14,2.74
2017-06-15,2.89
2017-06-16,2.78
2017-06-17,2.32
2017-06-18,2.63
2017-06-19,2.53
2017-06-20,2.35
2017-06-21,2.62
2017-06-22,2.63
2017-06-23,2.62
2017-06-24,2.71
2017-06-25,2.62
2017-06-26,2.65
2017-06-27,2.63
2017-06-28,2.61
2017-06-29,2.60
2017-06-30,2.84
2017-07-01,4.58
2017-07-02,3.50
2017-07-03,3.45
2017-07-04,3.44
2017-07-05,3.42
2017-07-06,3.41
2017-07-07,3.41
2017-07-08,3.91
2017-07-09,3.44
2017-07-10,3.42
2017-07-11,3.43
2017-07-12,3.55
2017-07-13,3.76
2017-07-14,4.59
2017-07-15,3.66
2017-07-16,3.47
2017-07-17,3.46
2017-07-18,3.44
2017-07-19,3.39
2017-07-20,3.35
